 INFO  Accepting connections at http://localhost:3000
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:15 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:15 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:16 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:09:16 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:16 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:16 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:09:17 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:17 PM ::1 Returned 404 in 51 ms
 HTTP  2/2/2026 12:09:24 PM ::1 GET /
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 200 in 85 ms
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 105 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 27 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 11 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:24 PM ::1 GET /culture/_next/static/chunks/376-43b8f472d4479548.js
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 100 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 103 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 99 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 96 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 113 ms
 HTTP  2/2/2026 12:09:24 PM ::1 Returned 404 in 114 ms
 HTTP  2/2/2026 12:09:25 PM ::1 GET /culture/_next/static/chunks/178-71f5c98f3f9b2b0d.js
 HTTP  2/2/2026 12:09:25 PM ::1 GET /culture/_next/static/chunks/app/page-45a2a5d403cd3147.js
 HTTP  2/2/2026 12:09:25 PM ::1 Returned 404 in 147 ms
 HTTP  2/2/2026 12:09:25 PM ::1 Returned 404 in 146 ms
 HTTP  2/2/2026 12:09:25 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:09:25 PM ::1 Returned 404 in 263 ms
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 11 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 7 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/376-43b8f472d4479548.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:26 PM ::1 GET /culture/_next/static/chunks/178-71f5c98f3f9b2b0d.js
 HTTP  2/2/2026 12:09:27 PM ::1 GET /culture/_next/static/chunks/app/page-45a2a5d403cd3147.js
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 67 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 41 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 22 ms
 HTTP  2/2/2026 12:09:26 PM ::1 Returned 404 in 21 ms
 HTTP  2/2/2026 12:09:27 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:09:28 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:28 PM ::1 Returned 404 in 49 ms
 HTTP  2/2/2026 12:09:34 PM ::1 GET /culture
 HTTP  2/2/2026 12:09:34 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 101 ms
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 131 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 98 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 98 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 95 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 27 ms
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 31 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 30 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 31 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 27 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 29 ms
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 45 ms
 HTTP  2/2/2026 12:09:35 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:09:35 PM ::1 Returned 404 in 31 ms
 HTTP  2/2/2026 12:09:36 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:36 PM ::1 Returned 404 in 34 ms
 HTTP  2/2/2026 12:09:37 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:37 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:37 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:37 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:09:37 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:37 PM ::1 Returned 404 in 2 ms
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture.html
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 301 in 35 ms
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 21 ms
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 7 ms
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:41 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 39 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 39 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 27 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 27 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 41 ms
 HTTP  2/2/2026 12:09:41 PM ::1 Returned 404 in 41 ms
 HTTP  2/2/2026 12:09:42 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:09:42 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:09:42 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:42 PM ::1 Returned 404 in 23 ms
 HTTP  2/2/2026 12:09:46 PM ::1 GET /
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 304 in 11 ms
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 77 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 65 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 67 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 71 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 68 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 76 ms
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 16 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 12 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/376-43b8f472d4479548.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/178-71f5c98f3f9b2b0d.js
 HTTP  2/2/2026 12:09:46 PM ::1 GET /culture/_next/static/chunks/app/page-45a2a5d403cd3147.js
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 24 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 23 ms
 HTTP  2/2/2026 12:09:46 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:09:47 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:09:47 PM ::1 Returned 404 in 18 ms
 HTTP  2/2/2026 12:09:47 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:09:47 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:10:01 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:10:01 PM ::1 Returned 404 in 7 ms
 HTTP  2/2/2026 12:10:07 PM ::1 GET /culture/
 HTTP  2/2/2026 12:10:07 PM ::1 Returned 404 in 18 ms
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 43 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 45 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 43 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 24 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 25 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 30 ms
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 71 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 45 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 44 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 29 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 16 ms
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 14 ms
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 4 ms
 HTTP  2/2/2026 12:10:08 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:10:08 PM ::1 Returned 404 in 17 ms
 HTTP  2/2/2026 12:10:18 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:10:18 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:10:23 PM ::1 GET /
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 304 in 9 ms
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 44 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 39 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 39 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 42 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 43 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 43 ms
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 137 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 140 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 140 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 75 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 62 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 52 ms
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/376-43b8f472d4479548.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/178-71f5c98f3f9b2b0d.js
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/_next/static/chunks/app/page-45a2a5d403cd3147.js
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 5 ms
 HTTP  2/2/2026 12:10:23 PM ::1 GET /culture/manifest.json
 HTTP  2/2/2026 12:10:23 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:10:24 PM ::1 GET /culture/favicon.png
 HTTP  2/2/2026 12:10:24 PM ::1 Returned 404 in 9 ms
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 6 ms
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/media/4cf2300e9c8272f7-s.p.woff2
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/media/93f479601ee12b01-s.p.woff2
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/css/dbab3859e94f4a36.css
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/css/e7d60130e68b0db0.css
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/chunks/webpack-223626e23d6617c8.js
 HTTP  2/2/2026 12:10:28 PM ::1 GET /culture/_next/static/chunks/4bd1b696-01b4a2ffa8bac205.js
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 19 ms
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 10 ms
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 13 ms
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 12 ms
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 13 ms
 HTTP  2/2/2026 12:10:28 PM ::1 Returned 404 in 16 ms
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/794-4d270ba25faf55cf.js
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/main-app-7dda00b53c886147.js
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/624-6f88d9f96dc14566.js
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/app/layout-870af5d92e916fb8.js
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/app/error-b73a178482d23cbe.js
 HTTP  2/2/2026 12:10:29 PM ::1 GET /culture/_next/static/chunks/app/global-error-d037190ee9a5ddd4.js
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 28 ms
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 30 ms
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 28 ms
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 3 ms
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 1 ms
 HTTP  2/2/2026 12:10:29 PM ::1 Returned 404 in 2 ms
